Transcript,Start,Stop
C47G2.4.1|cdna|chromosome:WBcel235:II:11290843:11293606:-1|gene:WBGene00008165.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:C47G2.4,102.0,105.0
C49C3.5.1|cdna|chromosome:WBcel235:IV:17329192:17330737:1|gene:WBGene00008195.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ceh-88,,
C49G9.1.1|cdna|chromosome:WBcel235:I:12564356:12565893:1|gene:WBGene00008216.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mec-19,231.0,234.0
C50H2.10.1|cdna|chromosome:WBcel235:V:9905854:9906215:-1|gene:WBGene00008244.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:fipr-11,,
C53B4.2.1|cdna|chromosome:WBcel235:IV:8966183:8967903:1|gene:WBGene00008272.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:C53B4.2,,
C54C8.9.1|cdna|chromosome:WBcel235:I:12461645:12461925:1|gene:WBGene00008295.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-39,213.0,216.0
C55A1.4.1|cdna|chromosome:WBcel235:V:15642639:15643491:-1|gene:WBGene00008322.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:C55A1.4,,
C55A1.7.1|cdna|chromosome:WBcel235:V:15646983:15647809:-1|gene:WBGene00008324.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:C55A1.7,,
C55A6.7.1|cdna|chromosome:WBcel235:V:11519335:11520530:-1|gene:WBGene00008336.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:C55A6.7,,
D1025.8.1|cdna|chromosome:WBcel235:X:14524758:14525181:-1|gene:WBGene00008359.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nspc-17,309.0,
D1086.8a.1|cdna|chromosome:WBcel235:V:14094105:14097088:1|gene:WBGene00008395.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:D1086.8,210.0,213.0
D2005.3.1|cdna|chromosome:WBcel235:I:7813761:7815042:-1|gene:WBGene00008398.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:D2005.3,483.0,
D2023.5.1|cdna|chromosome:WBcel235:V:11825897:11827067:-1|gene:WBGene00008409.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mpst-1,27.0,30.0
E01B7.1.2|cdna|chromosome:WBcel235:V:17924916:17934225:1|gene:WBGene00008441.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:usp-50,144.0,147.0
E02A10.4.1|cdna|chromosome:WBcel235:V:12566016:12567951:-1|gene:WBGene00008454.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:E02A10.4,141.0,144.0
E02H1.6.1|cdna|chromosome:WBcel235:II:9596701:9597528:1|gene:WBGene00008458.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:E02H1.6,264.0,267.0
F02D10.6.1|cdna|chromosome:WBcel235:X:13449586:13451678:-1|gene:WBGene00008526.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F02D10.6,,
F08H9.2.1|cdna|chromosome:WBcel235:V:14460624:14461132:1|gene:WBGene00008590.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F08H9.2,,
F09C3.2.1|cdna|chromosome:WBcel235:I:14271893:14274213:-1|gene:WBGene00008610.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F09C3.2,450.0,453.0
F09E8.8.1|cdna|chromosome:WBcel235:IV:13149576:13150569:1|gene:WBGene00008626.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-79,,
F10B5.8.1|cdna|chromosome:WBcel235:II:8141213:8143478:-1|gene:WBGene00008642.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F10B5.8,525.0,528.0
F10G8.2.1|cdna|chromosome:WBcel235:I:10021702:10022872:-1|gene:WBGene00008662.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F10G8.2,,
F13B12.2.1|cdna|chromosome:WBcel235:IV:10426231:10429110:-1|gene:WBGene00008730.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F13B12.2,165.0,168.0
F13D12.10a.1|cdna|chromosome:WBcel235:II:11713721:11716785:1|gene:WBGene00008744.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F13D12.10,9.0,12.0
F13E9.6.1|cdna|chromosome:WBcel235:IV:10877836:10879727:-1|gene:WBGene00008755.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:sdz-13,42.0,45.0
F13G3.4.1|cdna|chromosome:WBcel235:I:7300062:7300913:-1|gene:WBGene00008764.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dylt-1,,
F13H10.5.1|cdna|chromosome:WBcel235:IV:10990999:10994137:1|gene:WBGene00008776.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F13H10.5,453.0,456.0
F14H3.6.1|cdna|chromosome:WBcel235:V:16057322:16058892:-1|gene:WBGene00008825.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F14H3.6,942.0,945.0
F15D4.2.1|cdna|chromosome:WBcel235:II:13216092:13216764:1|gene:WBGene00008859.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F15D4.2,,
F15D4.3.1|cdna|chromosome:WBcel235:II:13237404:13237907:-1|gene:WBGene00008860.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:romo-1,,
F15H10.4.1|cdna|chromosome:WBcel235:V:10426633:10428731:-1|gene:WBGene00008871.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:tag-314,156.0,159.0
F16A11.2a.1|cdna|chromosome:WBcel235:I:9390829:9393095:-1|gene:WBGene00008877.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:rtcb-1,24.0,27.0
F17C11.5.1|cdna|chromosome:WBcel235:V:10953501:10954434:-1|gene:WBGene00008916.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:clec-221,114.0,117.0
F19H6.6.1|cdna|chromosome:WBcel235:X:12362397:12363102:1|gene:WBGene00008961.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F19H6.6,105.0,108.0
F20D1.7.1|cdna|chromosome:WBcel235:X:14987369:14991380:-1|gene:WBGene00008977.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:iglr-1,12.0,15.0
F23H12.8.1|cdna|chromosome:WBcel235:V:12361301:12361839:-1|gene:WBGene00009096.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:fipr-1,,
F23H12.9b.1|cdna|chromosome:WBcel235:V:12365519:12365862:1|gene:WBGene00009097.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:fipr-2,,
F25H2.3.1|cdna|chromosome:WBcel235:I:10547721:10549876:1|gene:WBGene00009117.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F25H2.3,111.0,114.0
F25H2.4.1|cdna|chromosome:WBcel235:I:10551972:10553035:1|gene:WBGene00009118.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F25H2.4,,
F25H9.2.1|cdna|chromosome:WBcel235:V:13458083:13459504:1|gene:WBGene00009135.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F25H9.2,756.0,759.0
F26E4.6.1|cdna|chromosome:WBcel235:I:9773172:9774012:1|gene:WBGene00009161.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cox-7C,,
F28D9.4.1|cdna|chromosome:WBcel235:I:11168607:11177726:-1|gene:WBGene00009220.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F28D9.4,522.0,
F29C12.4.2|cdna|chromosome:WBcel235:II:13117483:13122085:1|gene:WBGene00009246.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:gfm-1,2286.0,
F29F11.2.1|cdna|chromosome:WBcel235:V:10654417:10656976:-1|gene:WBGene00009255.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ugt-34,192.0,195.0
F29G6.3f.1|cdna|chromosome:WBcel235:X:11512852:11519060:-1|gene:WBGene00009259.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:hpo-34,5451.0,
F32A11.7.1|cdna|chromosome:WBcel235:II:13139465:13145225:-1|gene:WBGene00009311.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mltn-1,147.0,150.0
F32B4.2.1|cdna|chromosome:WBcel235:I:11512840:11513853:-1|gene:WBGene00009313.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F32B4.2,618.0,621.0
F32D8.3.1|cdna|chromosome:WBcel235:V:10886837:10887965:1|gene:WBGene00009328.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F32D8.3,393.0,396.0
F32D8.7b.1|cdna|chromosome:WBcel235:V:10898435:10900701:1|gene:WBGene00009331.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F32D8.7,573.0,576.0
F32H5.1.1|cdna|chromosome:WBcel235:V:13356101:13358079:-1|gene:WBGene00009347.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F32H5.1,204.0,207.0
F33A8.10.1|cdna|chromosome:WBcel235:II:11036074:11039471:1|gene:WBGene00009356.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F33A8.10,978.0,
F34H10.5.1|cdna|chromosome:WBcel235:X:9635693:9636884:1|gene:WBGene00009382.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F34H10.5,,
F35C5.3.1|cdna|chromosome:WBcel235:II:12888762:12890460:1|gene:WBGene00009391.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F35C5.3,,
F35C5.12.1|cdna|chromosome:WBcel235:II:12910229:12914603:-1|gene:WBGene00009400.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F35C5.12,180.0,183.0
F35E2.9.1|cdna|chromosome:WBcel235:I:11723427:11726326:-1|gene:WBGene00009416.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F35E2.9,114.0,117.0
F35E12.6.2|cdna|chromosome:WBcel235:V:13734118:13736247:-1|gene:WBGene00009430.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F35E12.6,,
F35G12.1a.1|cdna|chromosome:WBcel235:III:4566279:4568144:-1|gene:WBGene00009439.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mlcd-1,18.0,21.0
F35G12.7.1|cdna|chromosome:WBcel235:III:4586628:4587330:-1|gene:WBGene00009443.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F35G12.7,129.0,132.0
F35H8.1.1|cdna|chromosome:WBcel235:II:9552631:9553279:-1|gene:WBGene00009446.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F35H8.1,453.0,
F36G9.13.1|cdna|chromosome:WBcel235:V:15983294:15986649:1|gene:WBGene00009489.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F36G9.13,120.0,123.0
F38H4.3.1|cdna|chromosome:WBcel235:IV:11842421:11846350:1|gene:WBGene00009547.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F38H4.3,360.0,363.0
F40G12.10.1|cdna|chromosome:WBcel235:V:14283528:14285327:1|gene:WBGene00009605.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F40G12.10,390.0,393.0
F41E7.5.1|cdna|chromosome:WBcel235:X:10304507:10304947:1|gene:WBGene00009621.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:fipr-21,,
F43G9.10.1|cdna|chromosome:WBcel235:I:8638514:8640236:-1|gene:WBGene00009671.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mfap-1,,
F43G9.13.1|cdna|chromosome:WBcel235:I:8605263:8606584:1|gene:WBGene00009673.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F43G9.13,,
F44D12.5.1|cdna|chromosome:WBcel235:IV:10029055:10029498:1|gene:WBGene00009682.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:msd-2,390.0,
F44D12.8a.1|cdna|chromosome:WBcel235:IV:10023291:10025226:1|gene:WBGene00009685.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F44D12.8,,
F45G2.8.1|cdna|chromosome:WBcel235:III:13434861:13435670:-1|gene:WBGene00009734.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F45G2.8,,
F45H10.5.1|cdna|chromosome:WBcel235:II:13501877:13503822:1|gene:WBGene00009742.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F45H10.5,429.0,
F46F2.5.1|cdna|chromosome:WBcel235:X:15262727:15267857:1|gene:WBGene00009789.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F46F2.5,1029.0,1032.0
F47A4.3a.1|cdna|chromosome:WBcel235:X:9823752:9831249:-1|gene:WBGene00009800.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:rrc-1,30.0,33.0
F47B8.4b.1|cdna|chromosome:WBcel235:V:14323607:14324631:-1|gene:WBGene00009805.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F47B8.4,,
F47B8.5b.1|cdna|chromosome:WBcel235:V:14325787:14327876:-1|gene:WBGene00009806.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F47B8.5,6.0,9.0
F49A5.5a.1|cdna|chromosome:WBcel235:V:16865704:16867226:1|gene:WBGene00009857.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:clec-28,222.0,225.0
F49C12.1.1|cdna|chromosome:WBcel235:IV:9294899:9296406:-1|gene:WBGene00009871.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F49C12.1,324.0,327.0
F54B11.10.1|cdna|chromosome:WBcel235:X:13582120:13582757:1|gene:WBGene00010033.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F54B11.10,144.0,147.0
F54C8.1.1|cdna|chromosome:WBcel235:III:9439699:9440929:1|gene:WBGene00010035.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F54C8.1,159.0,162.0
F54C9.3.1|cdna|chromosome:WBcel235:II:8566508:8566857:-1|gene:WBGene00010041.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F54C9.3,,
F54F3.4.1|cdna|chromosome:WBcel235:V:12922608:12924156:1|gene:WBGene00010063.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dhrs-4,,
F55A11.1.1|cdna|chromosome:WBcel235:V:11763140:11764382:-1|gene:WBGene00010075.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F55A11.1,945.0,
F55A11.4a.1|cdna|chromosome:WBcel235:V:11770456:11773494:1|gene:WBGene00010077.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F55A11.4,48.0,51.0
F55A11.6c.1|cdna|chromosome:WBcel235:V:11776838:11783287:1|gene:WBGene00010079.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F55A11.6,366.0,369.0
F55A11.8a.1|cdna|chromosome:WBcel235:V:11788157:11789121:1|gene:WBGene00010081.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F55A11.8,,
F55C5.5.1|cdna|chromosome:WBcel235:V:12270271:12271551:-1|gene:WBGene00010094.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:tsfm-1,123.0,126.0
F55C5.10.1|cdna|chromosome:WBcel235:V:12283487:12283999:1|gene:WBGene00010098.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F55C5.10,,
F56A8.4.2|cdna|chromosome:WBcel235:III:13263268:13265038:1|gene:WBGene00010140.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F56A8.4,30.0,33.0
F57A10.6b.1|cdna|chromosome:WBcel235:V:15774946:15776676:-1|gene:WBGene00010186.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhr-283,69.0,72.0
F57C2.3.1|cdna|chromosome:WBcel235:II:14524173:14525112:1|gene:WBGene00010195.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:pot-2,54.0,57.0
F58A4.2.1|cdna|chromosome:WBcel235:III:9600038:9600745:-1|gene:WBGene00010227.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F58A4.2,,
F58G1.4.1|cdna|chromosome:WBcel235:II:12931873:12933515:1|gene:WBGene00010266.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dct-18,,
F58G6.3.1|cdna|chromosome:WBcel235:IV:9653535:9654175:1|gene:WBGene00010274.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F58G6.3,,
F59A2.5.1|cdna|chromosome:WBcel235:III:3404863:3405469:1|gene:WBGene00010305.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F59A2.5,57.0,60.0
F59F4.3.1|cdna|chromosome:WBcel235:X:15842356:15847593:-1|gene:WBGene00010338.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F59F4.3,9.0,12.0
F59F5.3.1|cdna|chromosome:WBcel235:X:10537141:10542423:-1|gene:WBGene00010342.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F59F5.3,288.0,291.0
H02K04.1.1|cdna|chromosome:WBcel235:V:15340136:15341446:-1|gene:WBGene00010355.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:clec-229,189.0,192.0
H05L14.1.2|cdna|chromosome:WBcel235:I:7972473:7977078:-1|gene:WBGene00010366.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:H05L14.1,1089.0,1092.0
H12D21.9.1|cdna|chromosome:WBcel235:V:14901567:14909478:-1|gene:WBGene00010385.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:H12D21.9,567.0,570.0
H21P03.2.1|cdna|chromosome:WBcel235:IV:11480846:11482437:1|gene:WBGene00010409.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:H21P03.2,60.0,63.0
K01F9.2.1|cdna|chromosome:WBcel235:III:8870099:8877128:-1|gene:WBGene00010475.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K01F9.2,162.0,165.0
K01G5.10.1|cdna|chromosome:WBcel235:III:10757641:10758522:-1|gene:WBGene00010481.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K01G5.10,,
K01G12.3.1|cdna|chromosome:WBcel235:IV:14193430:14195989:1|gene:WBGene00010483.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K01G12.3,,
K01H12.1a.1|cdna|chromosome:WBcel235:IV:9707148:9707764:1|gene:WBGene00010484.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dph-3,141.0,144.0
K03H1.9.1|cdna|chromosome:WBcel235:III:9940771:9941464:-1|gene:WBGene00010544.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K03H1.9,15.0,
K03H1.11.1|cdna|chromosome:WBcel235:III:9950381:9951964:-1|gene:WBGene00010546.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K03H1.11,177.0,180.0
K04G2.10.1|cdna|chromosome:WBcel235:I:8059782:8060558:1|gene:WBGene00010568.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K04G2.10,72.0,75.0
K05C4.7.1|cdna|chromosome:WBcel235:I:14737702:14738796:1|gene:WBGene00010583.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K05C4.7,825.0,
K06A4.6.1|cdna|chromosome:WBcel235:V:9480472:9480923:-1|gene:WBGene00010596.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K06A4.6,,
K07A1.3.1|cdna|chromosome:WBcel235:I:9587169:9588132:-1|gene:WBGene00010610.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K07A1.3,9.0,12.0
K07A1.10.2|cdna|chromosome:WBcel235:I:9615195:9616474:-1|gene:WBGene00010616.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K07A1.10,,
K07F5.5.1|cdna|chromosome:WBcel235:IV:9844014:9844344:1|gene:WBGene00010633.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nspd-2,,
K07F5.15.1|cdna|chromosome:WBcel235:IV:9865738:9866086:1|gene:WBGene00010639.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K07F5.15,,
K07F5.16a.1|cdna|chromosome:WBcel235:IV:9864179:9864875:1|gene:WBGene00010640.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K07F5.16,,
K08E3.3b.1|cdna|chromosome:WBcel235:III:13755896:13759427:1|gene:WBGene00010663.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:toca-2,657.0,660.0
K08E7.4.1|cdna|chromosome:WBcel235:IV:12570706:12571147:-1|gene:WBGene00010672.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:K08E7.4,,
K08H2.9.1|cdna|chromosome:WBcel235:X:13228669:13232328:-1|gene:WBGene00010694.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:bgnt-1.5,387.0,390.0
K10C3.2.1|cdna|chromosome:WBcel235:I:9850020:9851791:-1|gene:WBGene00010730.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ensa-1,,
K10G9.3b.1|cdna|chromosome:WBcel235:III:10279127:10281342:1|gene:WBGene00010757.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:pad-2,141.0,144.0
K10H10.2.2|cdna|chromosome:WBcel235:II:14492827:14494514:-1|gene:WBGene00010759.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cysl-2,507.0,510.0
K11B4.2.1|cdna|chromosome:WBcel235:I:14797660:14798705:1|gene:WBGene00010767.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:blos-9,105.0,108.0
K11H3.1b.1|cdna|chromosome:WBcel235:III:9854077:9858519:-1|gene:WBGene00010778.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:gpdh-2,93.0,96.0
LLC1.2a.1|cdna|chromosome:WBcel235:IV:14456900:14464098:1|gene:WBGene00010793.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:LLC1.2,18.0,21.0
M01G12.14.1|cdna|chromosome:WBcel235:I:12106912:12108503:-1|gene:WBGene00010825.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:M01G12.14,1086.0,1089.0
M02G9.3.1|cdna|chromosome:WBcel235:II:10318228:10319970:1|gene:WBGene00010832.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:M02G9.3,0.0,3.0
M110.8b.1|cdna|chromosome:WBcel235:II:8208020:8209444:-1|gene:WBGene00010916.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:M110.8,279.0,
M110.9.2|cdna|chromosome:WBcel235:II:8231239:8232769:1|gene:WBGene00010917.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:M110.9,,
M142.6a.1|cdna|chromosome:WBcel235:III:10936246:10946834:1|gene:WBGene00010923.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:rle-1,24.0,27.0
M163.7.1|cdna|chromosome:WBcel235:X:14464809:14465703:1|gene:WBGene00010939.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:M163.7,,
MTCE.16.1|cdna|chromosome:WBcel235:MtDNA:3389:4269:1|gene:WBGene00010961.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nduo-2,300.0,303.0
MTCE.31.1|cdna|chromosome:WBcel235:MtDNA:9649:10348:1|gene:WBGene00010965.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ctc-2,,
R01E6.5.1|cdna|chromosome:WBcel235:X:13537051:13538042:1|gene:WBGene00010969.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R01E6.5,843.0,
R03E1.2.1|cdna|chromosome:WBcel235:X:14163099:14164506:-1|gene:WBGene00010993.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:vha-20,1212.0,
R04B5.1.1|cdna|chromosome:WBcel235:V:10077905:10078344:-1|gene:WBGene00011001.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R04B5.1,,
R04D3.4.1|cdna|chromosome:WBcel235:X:13287779:13288815:-1|gene:WBGene00011012.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R04D3.4,144.0,147.0
R05D11.7.1|cdna|chromosome:WBcel235:I:8601339:8602034:1|gene:WBGene00011035.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:snrp-27,,
R05D11.9.1|cdna|chromosome:WBcel235:I:8593027:8596225:1|gene:WBGene00011037.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R05D11.9,48.0,51.0
R06B9.5.1|cdna|chromosome:WBcel235:II:13736349:13736933:1|gene:WBGene00011056.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R06B9.5,,
R06C1.2.1|cdna|chromosome:WBcel235:I:11917834:11923915:-1|gene:WBGene00011058.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:fdps-1,126.0,129.0
R06C1.4.1|cdna|chromosome:WBcel235:I:11930704:11931757:1|gene:WBGene00011059.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R06C1.4,,
R06C7.9a.2|cdna|chromosome:WBcel235:I:7255380:7258700:1|gene:WBGene00011066.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ztf-15,78.0,81.0
R06F6.2.1|cdna|chromosome:WBcel235:II:10788106:10793493:-1|gene:WBGene00011067.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:vps-11,387.0,390.0
R07B7.13a.1|cdna|chromosome:WBcel235:V:12092006:12093862:1|gene:WBGene00011097.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhr-206,183.0,186.0
R07E3.1a.1|cdna|chromosome:WBcel235:X:10339225:10341161:-1|gene:WBGene00011102.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R07E3.1,117.0,120.0
R07E5.5.1|cdna|chromosome:WBcel235:III:4397415:4398576:1|gene:WBGene00011113.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R07E5.5,207.0,210.0
R07E5.6.1|cdna|chromosome:WBcel235:III:4398763:4400942:1|gene:WBGene00011114.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:R07E5.6,,
R08A2.3.1|cdna|chromosome:WBcel235:V:14711313:14711736:1|gene:WBGene00011134.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ssp-33,,
